costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,cusip,fyr,fyear,csho,dt,prcc_f
A,USD,STD,INDL,C,3452,2020-12-31,002999,168088102,12,2020,0.9660,0.0000,22.860000000000
A,USD,STD,INDL,C,2840,2020-12-31,003026,171340102,12,2020,245.3600,2005.8000,87.230000000000
A,USD,STD,INDL,C,7990,2020-12-31,003028,171484108,12,2020,39.5000,1652.2000,194.790000000000
I,USD,STD,INDL,C,4813,2020-12-31,003036,171871502,12,2020,50.6810,2057.0000,15.280000000000
A,USD,STD,INDL,C,4832,2020-12-31,003105,45174J509,12,2020,146.1960,6917.9240,12.980000000000
A,USD,STD,INDL,C,3310,2020-12-31,003107,185899101,12,2020,477.5170,5989.0000,14.560000000000
A,USD,STD,INDL,C,2086,2020-12-31,003138,191098102,12,2020,9.3740,1155.9980,266.270000000000
A,USD,STD,INDL,C,2086,2020-12-31,003144,191216100,12,2020,4302.0000,42232.0000,54.840000000000
A,USD,STD,INDL,C,1040,2020-12-31,003153,192108504,12,2020,243.7510,315.3440,10.350000000000
A,USD,STD,INDL,C,3825,2020-12-31,003158,192576106,12,2020,42.1900,345.8790,38.180000000000
A,USD,STD,INDL,C,2844,2020-12-31,003170,194162103,12,2020,849.8940,7956.0000,85.510000000000
I,USD,STD,INDL,C,5070,2020-12-31,003184,12504V107,12,2020,9.1550,2.8750,0.900000000000
A,USD,STD,INDL,C,6411,2020-12-31,003221,G0403H108,12,2020,225.5000,8925.0000,211.270000000000
A,USD,STD,INDL,C,4841,2020-12-31,003226,20030N101,12,2020,4580.6560,113386.0000,52.400000000000
A,USD,STD,INDL,C,6199,2020-12-31,003243,172967424,12,2020,2082.0900,274786.0000,61.660000000000
I,USD,STD,INDL,C,7370,2020-12-31,003275,203900204,12,2020,9.3220,0.4110,4.570000000000
A,USD,STD,INDL,C,7510,2020-12-31,003278,053774105,12,2020,69.8000,13858.0000,37.300000000000
I,USD,STD,INDL,C,7370,2020-12-31,003342,205477102,12,2020,15.1760,21.9910,6.120000000000
A,USD,STD,INDL,C,7370,2020-12-31,003382,825690100,12,2020,36.2450,50.7170,71.700000000000
A,USD,STD,INDL,C,6513,2020-12-31,003410,893617209,12,2020,8.6390,473.9570,24.110000000000
A,USD,STD,INDL,C,5812,2020-12-31,003424,08986R309,12,2020,0.6210,281.2710,111.200000000000
A,USD,STD,INDL,C,6798,2020-12-31,003429,22948Q101,12,2020,5.9160,273.3060,42.160000000000
I,USD,STD,INDL,C,1311,2020-12-31,003469,212015101,12,2020,365.2200,5540.8450,16.300000000000
I,USD,STD,INDL,C,3011,2020-12-31,003502,216831107,12,2020,50.3960,433.3710,40.500000000000
A,USD,STD,INDL,C,2082,2020-12-31,003505,60871R209,12,2020,216.7000,8367.8000,45.190000000000
A,USD,STD,INDL,C,3679,2020-12-31,003532,219350105,12,2020,765.0000,8626.0000,36.000000000000
A,USD,STD,INDL,C,6798,2020-12-31,003562,222795502,12,2020,148.5640,2224.8930,33.500000000000
A,USD,STD,INDL,C,3490,2020-12-31,003580,224408104,12,2020,58.1280,952.8000,77.660000000000
A,USD,STD,INDL,C,6411,2020-12-31,003581,224633206,12,2020,53.3570,239.5680,7.390000000000
A,USD,STD,INDL,C,6141,2020-12-31,003592,68268W103,12,2020,134.3420,17965.0000,48.160000000000
A,USD,STD,INDL,C,3411,2020-12-31,003619,228368106,12,2020,134.8010,8321.0000,100.200000000000
A,USD,STD,INDL,C,3510,2020-12-31,003650,231021106,12,2020,147.6580,4125.0000,227.100000000000
A,USD,STD,INDL,C,3728,2020-12-31,003662,231561101,12,2020,40.9160,1229.6100,116.350000000000
A,USD,STD,INDL,C,2834,2020-12-31,003691,36254L308,12,2020,88.7080,0.0000,0.424000000000
A,USD,STD,INDL,C,5812,2020-12-31,003708,95058W100,12,2020,224.2680,3675.9770,21.920000000000
A,USD,STD,INDL,C,3714,2020-12-31,003734,235825205,12,2020,144.5160,2625.0000,19.520000000000
A,USD,STD,INDL,C,3826,2020-12-31,003735,235851102,12,2020,711.0000,22178.0000,222.140000000000
A,USD,STD,INDL,C,3825,2020-12-31,003761,237690102,12,2020,8.4160,1.2610,4.120000000000
A,USD,STD,INDL,C,1382,2020-12-31,003806,239360100,12,2020,23.4780,6.1060,2.120000000000
A,USD,STD,INDL,C,6799,2020-12-31,003842,233347202,12,2020,0.0050,4.1050,2200.000100000000
A,USD,STD,INDL,C,4512,2020-12-31,003851,247361702,12,2020,638.1830,35548.0000,40.210000000000
A,USD,STD,INDL,C,2780,2020-12-31,003863,248019101,12,2020,41.9730,879.9330,29.200000000000
A,USD,STD,INDL,C,3578,2020-12-31,003946,253651202,12,2020,77.6790,2499.9000,10.660000000000
A,USD,STD,INDL,C,3679,2020-12-31,003962,656553104,12,2020,2.6600,21.7860,7.170000000000
A,USD,STD,INDL,C,3674,2020-12-31,003969,254543101,12,2020,44.2760,347.9160,70.500000000000
A,USD,STD,INDL,C,2273,2020-12-31,004001,255519100,12,2020,15.4370,100.8840,2.550000000000
A,CAD,STD,INDL,C,2421,2020-12-31,004019,958211708,12,2020,375.2320,93.5000,1.280000000000
I,USD,STD,INDL,C,2750,2020-12-31,004040,257867200,12,2020,71.4000,1733.4000,2.260000000000
A,USD,STD,INDL,C,6792,2020-12-31,004045,25820R105,12,2020,34.6800,2.1850,10.910000000000
A,USD,STD,INDL,C,3559,2020-12-31,004058,260003108,12,2020,143.7530,3303.0020,126.250000000000
A,USD,STD,INDL,C,2820,2020-12-31,004060,26614N102,12,2020,734.2040,22453.0000,71.110000000000
A,USD,STD,INDL,C,7311,2020-12-31,004066,681919106,12,2020,215.0000,7315.9000,62.370000000000
A,USD,STD,INDL,C,3728,2020-12-31,004091,264147109,12,2020,11.7280,336.6090,53.700000000000
I,USD,STD,INDL,C,7323,2020-12-31,004094,26484T106,12,2020,422.9520,3372.8000,24.900000000000
A,USD,STD,INDL,C,3561,2020-12-31,004108,34354P105,12,2020,130.0250,1938.1420,36.850000000000
A,USD,STD,INDL,C,3826,2020-12-31,004145,714046109,12,2020,112.0900,2219.3810,143.500000000000
A,USD,STD,INDL,C,3420,2020-12-31,004186,276317104,12,2020,6.2470,101.5000,24.100000000000
A,USD,STD,INDL,C,6798,2020-12-31,004193,277276101,12,2020,39.6770,1324.2610,138.060000000000
A,USD,STD,INDL,C,3861,2020-12-31,004194,277461406,12,2020,77.2000,80.0000,8.140000000000
A,USD,STD,INDL,C,3620,2020-12-31,004199,G29183103,12,2020,398.1000,8499.0000,120.140000000000
A,USD,STD,INDL,C,2842,2020-12-31,004213,278865100,12,2020,285.7520,7097.2000,216.360000000000
A,USD,STD,INDL,C,3661,2020-12-31,004292,285861100,12,2020,2.5090,0.0000,0.026400000000
A,USD,STD,INDL,C,3823,2020-12-31,004275,285233102,12,2020,3.3960,0.0180,4.810000000000
A,USD,STD,INDL,C,1381,2020-12-31,004367,G48833118,12,2020,70.0000,2858.0000,6.000000000000
A,USD,STD,INDL,C,7370,2020-12-31,004384,565788106,12,2020,81.9750,0.1840,10.440000000000
A,USD,STD,INDL,C,2836,2020-12-31,004409,293904108,12,2020,74.2150,0.0000,0.248395000000
A,USD,STD,INDL,C,3089,2020-12-31,004412,92831R201,12,2020,103.1910,186.6350,1.030000000000
A,USD,STD,INDL,C,7323,2020-12-31,004423,294429105,12,2020,121.8000,4378.4000,192.840000000000
A,USD,STD,INDL,C,3663,2020-12-31,004439,294821608,12,2020,3328.1080,4330.4620,11.950000000000
A,USD,STD,INDL,C,3949,2020-12-31,004448,296056104,12,2020,13.9190,31.6900,21.170000000000
A,USD,STD,INDL,C,2860,2020-12-31,004462,651587107,12,2020,10.9210,672.8010,398.290000000000
A,USD,STD,INDL,C,6331,2020-12-31,004485,496719105,12,2020,10.6170,30.6160,6.650000000000
A,USD,STD,INDL,C,4731,2020-12-31,004494,302130109,12,2020,169.2940,438.1890,95.110000000000
A,USD,STD,INDL,C,3533,2020-12-31,004497,23291C103,12,2020,15.3890,23.0710,43.250000000000
A,USD,STD,INDL,C,2911,2020-12-31,004503,30231G102,12,2020,4233.0000,55413.0000,41.220000000000
A,USD,STD,INDL,C,2870,2020-12-31,004510,302491303,12,2020,129.3540,3199.8000,114.930000000000
A,CAD,STD,INDL,C,5051,2020-12-31,004599,781903604,12,2020,62.2950,399.4000,22.730000000000
A,USD,STD,INDL,C,6111,2020-12-31,004601,313586109,12,2020,5858.0880,3923563.0000,2.390000000000
A,USD,STD,INDL,C,6798,2020-12-31,004605,313745101,12,2020,76.7270,4435.8650,85.120000000000
A,USD,STD,INDL,C,3711,2020-12-31,004608,313855108,12,2020,60.5000,233.7000,33.170000000000
I,USD,STD,INDL,C,2851,2020-12-31,004622,315405100,12,2020,82.3710,815.8430,14.630000000000
A,USD,STD,INDL,C,2836,2020-12-31,004632,128058302,12,2020,19.3780,0.6240,1.430000000000
A,CAD,STD,INDL,C,5082,2020-12-31,004669,318071404,12,2020,162.1070,1606.0000,27.030000000000
A,CAD,STD,INDL,C,3728,2020-12-31,004763,558912200,12,2020,57.7290,76.7140,8.770000000000
A,USD,STD,INDL,C,2050,2020-12-31,004809,343498101,12,2020,211.6030,1305.8650,22.630000000000
A,USD,STD,INDL,C,1600,2020-12-31,004818,343412102,12,2020,140.7150,1974.5180,15.970000000000
A,USD,STD,INDL,C,3711,2020-12-31,004839,345370860,12,2020,3978.6950,150956.0000,8.790000000000
A,USD,STD,INDL,C,5051,2020-12-31,004860,350060109,12,2020,10.5630,61.0930,15.050000000000
A,USD,STD,INDL,C,3621,2020-12-31,004881,353514102,12,2020,46.2220,126.4730,69.210000000000
A,USD,STD,INDL,C,4700,2020-12-31,004941,361448103,12,2020,35.0470,5710.9000,83.180000000000
A,USD,STD,INDL,C,6411,2020-12-31,004973,363576109,12,2020,193.6510,4750.7000,123.710000000000
A,USD,STD,INDL,C,4833,2020-12-31,004988,87901J105,12,2020,219.5000,3664.8070,13.950000000000
I,USD,STD,INDL,C,3760,2020-12-31,005018,007800105,12,2020,76.8000,673.4000,52.850000000000
A,USD,STD,INDL,C,3721,2020-12-31,005046,369550108,12,2020,286.4780,14732.0000,148.820000000000
A,USD,STD,INDL,C,3724,2020-12-31,005047,369604301,12,2020,8765.4930,73421.0000,10.800000000000
A,USD,STD,INDL,C,6172,2020-12-31,005072,02005N100,12,2020,374.6740,22193.0000,35.660000000000
A,USD,STD,INDL,C,3711,2020-12-31,005073,37045V100,12,2020,1400.0000,73950.0000,41.640000000000
A,USD,STD,INDL,C,3585,2020-12-31,005087,78473E103,12,2020,45.0320,350.2000,54.540000000000
A,USD,STD,INDL,C,5013,2020-12-31,005125,372460105,12,2020,144.3540,3737.1780,100.430000000000
A,USD,STD,INDL,C,6798,2020-12-31,005149,374297109,12,2020,43.6060,577.4140,27.540000000000
I,USD,STD,INDL,C,2621,2020-12-31,005179,55999Q935,12,2020,44.3680,313.5210,16.380000000000
A,USD,STD,INDL,C,2834,2020-12-31,005180,37733W204,12,2020,2490.5040,34919.5140,36.800000000000
A,USD,STD,INDL,C,1040,2020-12-31,005205,G4R86G107,12,2020,99.3950,0.1700,1.600000000000
A,USD,STD,INDL,C,3011,2020-12-31,005234,382550101,12,2020,233.2200,6466.0000,10.910000000000
A,USD,STD,INDL,C,3561,2020-12-31,005237,383082104,12,2020,26.1020,1.6700,32.450000000000
I,USD,STD,INDL,C,2810,2020-12-31,005250,38388F108,12,2020,66.1900,2026.3000,54.820000000000
A,USD,STD,INDL,C,3561,2020-12-31,005252,384109104,12,2020,168.5680,198.0700,72.350000000000
A,USD,STD,INDL,C,5000,2020-12-31,005256,384802104,12,2020,52.5240,2616.0000,408.340000000000
A,USD,STD,INDL,C,4833,2020-12-31,005284,389375106,12,2020,95.1880,4032.0000,17.890000000000
A,CAD,STD,INDL,C,6199,2020-12-31,005299,466135100,12,2020,8.8700,0.0000,19.390000000000
I,USD,STD,INDL,C,6099,2020-12-31,005342,60935Y208,12,2020,72.5180,916.9000,5.465000000000
A,USD,STD,INDL,C,6512,2020-12-31,005395,403829104,12,2020,1.4830,5.1600,16.250000000000
I,USD,STD,INDL,C,6798,2020-12-31,005408,404232100,12,2020,1.0070,0.0000,10.560000000000
A,USD,STD,INDL,C,1389,2020-12-31,005439,406216101,12,2020,885.0000,10978.0000,18.900000000000
A,USD,STD,INDL,C,3812,2020-12-31,005492,502431109,12,2020,208.2300,7766.0000,189.020000000000
A,USD,STD,INDL,C,3390,2020-12-31,005496,415864107,12,2020,78.9240,1379.4870,17.980000000000
A,USD,STD,INDL,C,3944,2020-12-31,005518,418056107,12,2020,137.3070,5300.4100,93.540000000000
A,USD,STD,INDL,C,3621,2020-12-31,005520,019330109,12,2020,9.7540,139.7200,51.100000000000
A,USD,STD,INDL,C,5712,2020-12-31,005523,419596101,12,2020,18.2120,233.6660,27.670000000000
A,USD,STD,INDL,C,8090,2020-12-31,005539,421906108,12,2020,74.4850,16.6630,28.100000000000
A,USD,STD,INDL,C,6798,2020-12-31,005543,95040Q104,12,2020,417.4010,14216.9860,64.620000000000
A,USD,STD,INDL,C,1700,2020-12-31,005559,859241101,12,2020,28.1840,375.4290,18.610000000000
A,USD,STD,INDL,C,1040,2020-12-31,005560,422704106,12,2020,531.6660,533.6490,6.480000000000
A,USD,STD,INDL,C,2030,2020-12-31,005568,500754106,12,2020,1223.0000,28910.0000,34.660000000000
A,CAD,STD,INDL,C,1311,2020-12-31,005583,423630102,12,2020,86.7820,25.3120,0.200000000000
A,USD,STD,INDL,C,2060,2020-12-31,005597,427866108,12,2020,208.2270,4747.0330,152.330000000000
A,USD,STD,INDL,C,7510,2020-12-31,005600,42806J700,12,2020,156.2060,7903.0000,1.280000000000
A,USD,STD,INDL,C,2821,2020-12-31,005608,428291108,12,2020,83.6000,984.9000,48.490000000000
A,USD,STD,INDL,C,3490,2020-12-31,005621,22511P100,12,2020,3.3280,32.2360,18.740000000000
A,USD,STD,INDL,C,7011,2020-12-31,005643,43300A203,12,2020,277.5910,11628.0000,111.260000000000
A,USD,STD,INDL,C,2911,2020-12-31,005667,403949100,12,2020,162.4140,3533.4530,25.850000000000
A,USD,STD,INDL,C,2522,2020-12-31,005690,404251100,12,2020,42.9190,254.6890,34.460000000000
A,USD,STD,INDL,C,3640,2020-12-31,005764,443510607,12,2020,54.3830,1543.9000,156.790000000000
A,USD,STD,INDL,C,4213,2020-12-31,005783,445658107,12,2020,105.6540,1440.9240,136.650000000000
I,USD,STD,INDL,C,5031,2020-12-31,005792,448451104,12,2020,26.8890,128.1000,3.670000000000
A,USD,STD,INDL,C,3561,2020-12-31,005860,45073V108,12,2020,86.5000,107.7000,77.020000000000
A,USD,STD,INDL,C,6798,2020-12-31,005862,754907103,12,2020,137.6790,1469.5370,29.380000000000
A,USD,STD,INDL,C,3560,2020-12-31,005878,452308109,12,2020,316.7000,8310.0000,203.880000000000
I,USD,STD,INDL,C,2834,2020-12-31,005888,87960W203,12,2020,21.7540,164.4480,0.750000000000
A,CAD,STD,INDL,C,2911,2020-12-31,005903,453038408,12,2020,734.0770,5165.0000,24.160000000000
A,USD,STD,INDL,C,3585,2020-12-31,005959,G8994E103,12,2020,238.8080,5687.4000,145.160000000000
A,USD,STD,INDL,C,5051,2020-12-31,005968,783754104,12,2020,38.1170,864.9000,13.640000000000
I,USD,STD,INDL,C,5063,2020-12-31,005971,973257108,12,2020,52.2070,0.0000,0.010800000000
I,USD,STD,INDL,C,1623,2020-12-31,005978,00770F104,12,2020,30.6400,272.6700,18.990000000000
A,USD,STD,INDL,C,3674,2020-12-31,006008,458140100,12,2020,4062.0000,36928.0000,49.820000000000
I,USD,STD,INDL,C,7372,2020-12-31,006013,45816D100,12,2020,8.8860,2.8890,40.110000000000
I,USD,STD,INDL,C,3679,2020-12-31,006021,45779C107,12,2020,13.8200,4.0990,0.550000000000
A,USD,STD,INDL,C,2273,2020-12-31,006034,458665304,12,2020,58.6640,680.7770,10.500000000000
A,USD,STD,INDL,C,7370,2020-12-31,006066,459200101,12,2020,892.6530,66339.0000,125.880000000000
A,USD,STD,INDL,C,2860,2020-12-31,006078,459506101,12,2020,106.9380,4047.9990,108.840000000000
A,USD,STD,INDL,C,6794,2020-12-31,006100,45867G101,12,2020,30.8160,394.2050,60.680000000000
A,USD,STD,INDL,C,2631,2020-12-31,006104,460146103,12,2020,393.1160,14868.0000,49.720000000000
A,CAD,STD,INDL,C,4924,2020-12-31,006135,29250N105,12,2020,2026.0000,66652.0000,40.710000000000
A,USD,STD,INDL,C,7311,2020-12-31,006136,460690100,12,2020,390.9000,5127.8000,23.520000000000
I,USD,STD,INDL,C,3842,2020-12-31,006158,461203101,12,2020,34.4330,326.6050,8.950000000000
A,USD,STD,INDL,C,1731,2020-12-31,006223,29084Q100,12,2020,54.7560,535.5230,91.460000000000
A,USD,STD,INDL,C,2834,2020-12-31,006266,478160104,12,2020,2632.5120,34434.0000,157.380000000000
A,USD,STD,INDL,C,1311,2020-12-31,006311,74158E104,12,2020,1.9940,38.7540,43.170000000000
I,USD,STD,INDL,C,3720,2020-12-31,006326,483548103,12,2020,27.7230,205.2450,57.130000000000
A,USD,STD,INDL,C,6311,2020-12-31,006333,484836200,12,2020,9.6830,0.0000,38.000000000000
I,USD,STD,INDL,C,4011,2020-12-31,006335,485170302,12,2020,91.0470,3840.8000,204.130000000000
A,USD,STD,INDL,C,2040,2020-12-31,006375,487836108,12,2020,343.8910,8010.0000,62.230000000000
